location,count,link
"hyderabad, india",16,"https://apjanco.github.io/simsproj2022/browse.html#hyderabad,%20india"
"london, uk",10,"https://apjanco.github.io/simsproj2022/browse.html#london,%20uk"
"oxford, uk",10,"https://apjanco.github.io/simsproj2022/browse.html#oxford,%20uk"
"montreal, canada",5,"https://apjanco.github.io/simsproj2022/browse.html#montreal,%20canada"
"lahore, pakistan",4,"https://apjanco.github.io/simsproj2022/browse.html#lahore,%20pakistan"
"budapest, hungary",4,"https://apjanco.github.io/simsproj2022/browse.html#budapest,%20hungary"
"islamabad, pakistan",3,"https://apjanco.github.io/simsproj2022/browse.html#islamabad,%20pakistan"
"princeton, nj",3,"https://apjanco.github.io/simsproj2022/browse.html#princeton,%20nj"
"edinburgh, uk",3,"https://apjanco.github.io/simsproj2022/browse.html#edinburgh,%20uk"
"manchester, uk",3,"https://apjanco.github.io/simsproj2022/browse.html#manchester,%20uk"
"cambridge, uk",3,"https://apjanco.github.io/simsproj2022/browse.html#cambridge,%20uk"
"philadelphia, pa",2,"https://apjanco.github.io/simsproj2022/browse.html#philadelphia,%20pa"
"windsor, uk",2,"https://apjanco.github.io/simsproj2022/browse.html#windsor,%20uk"
"new york, ny",2,"https://apjanco.github.io/simsproj2022/browse.html#new%20york,%20ny"
"mumbai, india",1,"https://apjanco.github.io/simsproj2022/browse.html#mumbai,%20india"
"toronto, canada",1,"https://apjanco.github.io/simsproj2022/browse.html#toronto,%20canada"
"amritsar, india",1,"https://apjanco.github.io/simsproj2022/browse.html#amritsar,%20india"
"karachi, pakistan",1,"https://apjanco.github.io/simsproj2022/browse.html#karachi,%20pakistan"
"cambridge, ma",1,"https://apjanco.github.io/simsproj2022/browse.html#cambridge,%20ma"
"st andrews, uk",1,"https://apjanco.github.io/simsproj2022/browse.html#st%20andrews,%20uk"
"munich, germany",1,"https://apjanco.github.io/simsproj2022/browse.html#munich,%20germany"
"leipzig, germany",1,"https://apjanco.github.io/simsproj2022/browse.html#leipzig,%20germany"
"berlin, germany",1,"https://apjanco.github.io/simsproj2022/browse.html#berlin,%20germany"
