title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Free Library of Philadelphia Lewis O 98","","1816","","Gulshan-i Ishq","Philadelphia, PA","39.9525839","-75.1652215","","","","","","","","https://openn.library.upenn.edu/Data/0023/lewis_o_098/data/thumb/9525_0086_thumb.jpg","https://openn.library.upenn.edu/Data/0023/html/lewis_o_098.html","https://apjanco.github.io/simsproj2022/items/gulshan_001.html"
"Philadelphia Museum of Art 1945-65-22(1a--255b)","","1743","","Gulshan-i Ishq","Philadelphia, PA","39.9525839","-75.1652215","","","","","","","","","https://philamuseum.org/collection/object/49733","https://apjanco.github.io/simsproj2022/items/gulshan_002.html"
"British Library Or 11721","","1750","","Gulshan-i Ishq","London, UK","51.509865","-0.118092","Nur Sobers-Khan, &#39;Bibliography and notes: Primary sources in the British Library for the study of Hir Ranjha and the Qissa genre and the historical and literary context&#39;","","","","","","","","https://www.academia.edu/28743063/Bibliography_and_notes_Primary_sources_in_the_British_Library_for_the_study_of_Hir_Ranjha_and_the_Qissa_genre_and_the_historical_and_literary_context_for_the_conference_The_Past_Before_Us_History_and_Heritage_in_South_Asia_British_Library_and_SOAS_London_5_September_2016_","https://apjanco.github.io/simsproj2022/items/gulshan_003.html"
"British Library IO Islamic 2621","","","","Gulshan-i Ishq","London, UK","51.509865","-0.118092","J.F. Blumhardt, Catalogue of the Hindustani Manuscripts in the Library of the India Office (London: Oxford University Press, 1926), #104","","","","","","","","https://babel.hathitrust.org/cgi/pt?id=wau.39352009886508&view=1up&seq=74","https://apjanco.github.io/simsproj2022/items/gulshan_004.html"
"British Library IO Islamic 3040","","","","Gulshan-i Ishq","London, UK","51.509865","-0.118092","J.F. Blumhardt, Catalogue of the Hindustani Manuscripts in the Library of the India Office (London: Oxford University Press, 1926), #105","","","","","","","","https://babel.hathitrust.org/cgi/pt?id=wau.39352009886508&view=1up&seq=75 ","https://apjanco.github.io/simsproj2022/items/gulshan_005.html"
"British Library IO Islamic 2486","","1820","","Gulshan-i Ishq","London, UK","51.509865","-0.118092","J.F. Blumhardt, Catalogue of the Hindustani Manuscripts in the Library of the India Office (London: Oxford University Press, 1926), #106","","","","","","","","https://babel.hathitrust.org/cgi/pt?id=wau.39352009886508&view=1up&seq=76 ","https://apjanco.github.io/simsproj2022/items/gulshan_006.html"
"British Library IO Islamic 1434","","1820","","Gulshan-i Ishq","London, UK","51.509865","-0.118092","J.F. Blumhardt, Catalogue of the Hindustani Manuscripts in the Library of the India Office (London: Oxford University Press, 1926), #107","","","","","","","","https://babel.hathitrust.org/cgi/pt?id=wau.39352009886508&view=1up&seq=77 ","https://apjanco.github.io/simsproj2022/items/gulshan_007.html"
"British Library Or 1059","","","","Gulshan-i Ishq","London, UK","51.509865","-0.118092","J.F. Blumhardt, Catalogue of the Hindi, Panjabi and Hindustandi Manuscripts in the Library of the British Museum, #45","","","","","","","","https://babel.hathitrust.org/cgi/pt?id=uiug.30112084973475&view=1up&seq=78&skin=2021","https://apjanco.github.io/simsproj2022/items/gulshan_008.html"
"Bodleian Ms Urdu e2","","","","Gulshan-i Ishq","Oxford, UK","51.752022","-1.257677","Hermann Ethé, Catalogue of the Persian, Turkish, Hindustani and Pashto Manuscripts in the Bodleian Library, vol. 2, 3 vols. (Oxford: Clarendon Press, 1930), #2320","","","","","","","","","https://apjanco.github.io/simsproj2022/items/gulshan_009.html"
"Salar Jung Museum 126","","1699","","Gulshan-i Ishq","Hyderabad, India","17.38714","78.491684","Kalpana Desai, Jewels on the Crescent: Masterpieces of the Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Formerly Prince of Wales Museum of Western India, 134-5","","","","","","","","","https://apjanco.github.io/simsproj2022/items/gulshan_010.html"
